"%1 doesn't extend MagentoCheckoutCustomerDataItemInterface","%1 n'étend pas MagentoCheckoutCustomerDataItemInterface",module,Magento_Checkout
"We received your order!","Nous avons pris en compte votre commande !",module,Magento_Checkout
"What's this?","Qu'est-ce que c'est ?",module,Magento_Checkout
"What's this?","Qu'est-ce que c'est ?",module,Magento_Checkout
"Wrong minimum amount.","Montant minimum incorrect.",module,Magento_Checkout
"You added %1 to your shopping cart.","Le produit %1 a été ajouté à votre panier.",module,Magento_Checkout
"You already have an account with us. Sign in or continue as guest.","Vous possédez déjà un compte. Connectez-vous ou continuer en tant qu'invité.",module,Magento_Checkout
"You canceled the coupon code.","Vous avez annulé le code de promo.",module,Magento_Checkout
"You can create an account after checkout.","Vous pourrez créer un compte après avoir passé votre commande.",module,Magento_Checkout
"You can track your order status by creating an account.","Vous pouvez suivre l'état de votre commande en créant un compte.",module,Magento_Checkout
"You have no items in your shopping cart.","Aucun article dans votre panier.",module,Magento_Checkout
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Vous devez confirmer votre compte. Vérifier dans vos email si vous avez reçu le lien de confirmation ou <a href=""%1"">cliquez ici </a> pour obtenir un nouveau lien.",module,Magento_Checkout
"Your Checkout Progress","Avancement de votre commande",module,Magento_Checkout
"Your credit card will be charged for","Votre carte de crédit sera débitée de",module,Magento_Checkout
"Your order has been received.","Votre commande a bien été reçue.",module,Magento_Checkout
"Your order # is: <span>%1</span>.","Votre numéro de commande est : <span>%1 </ span>.",module,Magento_Checkout
"Your order # is: %1.","ID de votre commande : %1.",module,Magento_Checkout
"Your order number is: %1.","Votre numéro de commande est : %1.",module,Magento_Checkout
"Your session has expired","Votre session a expiré",module,Magento_Checkout
"You used coupon code ""%1"".","Vous avez utilisé le code promo ""%1"".",module,Magento_Checkout
"You will receive an order confirmation email with details of your order and a link to track its progress.","Vous allez recevoir un email de confirmation avec les détails de votre commande ainsi qu'un lien pour suivre son avancement.",module,Magento_Checkout
"You will see the order total before you submit the order.","Vous verrez le total de la commande avant de valider la commande.",module,Magento_Checkout
"Zip/Postal Code","Code postal",module,Magento_Checkout
